Table with row headers in column A and column headers in rows 12 through 13.,,,,,,,,
"Census 2000 PHC-T-28.  Employment Status of the Population in Households for the United States, States, Counties, Places, and for Puerto Rico:  2000",,,,,,,,
,,,,,,,,
"Table 1.  Employment Status of the Population 16 Years Old and Over in Households for the United States, States, Counties, and for Puerto Rico: 2000",,,,,,,,
,,,,,,,,
Note:  Numbers rounded to 10's.,,,,,,,,
"Source:  U.S. Census Bureau, Census 2000, special tabulation.",,,,,,,,
"Internet release date:  October 6, 2003",,,,,,,,
"Last Revised:  November 4, 2003",,,,,,,,
"Note:  This houshold-only county file was reposted on November 4, 2003, to correct errors in the estimates for several counties in Puerto Rico.  An error in the county codes for Puerto Rico caused the previous version's estimates to be switched among these municipios: Anasco, Arecibo, Arroyo, Guanica, Guayama, Guayanilla, Guaynabo, and Gurabo.  The estimates have been corrected in this new version.",,,,,,,,
"[Data based on a sample.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see, http://www.census.gov/prod/cen2000/doc/sf3.pdf]",,,,,,,,
"United States
State
County",Total household population 16 and over,Civilian labor force,,,,Armed Forces,Not in labor force,
Tipton County,"12,780","8,500","8,300",210,2.5,0,"4,280",
Union County,"5,450","3,680","3,490",180,4.9,10,"1,760",
Vanderburgh County,"129,740","87,220","83,190","4,040",4.6,40,"42,480",
Vermillion County,"13,000","8,070","7,630",440,5.5,10,"4,920",
Vigo County,"76,390","48,880","45,950","2,940",6.0,100,"27,410",
Wabash County,"25,560","17,270","16,760",510,3.0,10,"8,270",
Warren County,"6,350","4,350","4,220",130,3.0,0,"2,000",
Warrick County,"39,330","27,870","26,820","1,050",3.8,20,"11,440",
Washington County,"20,540","13,780","13,180",610,4.4,20,"6,730",
Wayne County,"53,760","35,440","33,530","1,910",5.4,20,"18,300",
Wells County,"20,520","14,650","14,210",440,3.0,20,"5,860",
White County,"19,230","13,100","12,650",450,3.4,0,"6,130",
Whitley County,"22,980","16,670","16,260",410,2.5,0,"6,310",
Iowa,"2,179,140","1,522,100","1,465,220","56,880",3.7,"1,840","655,210",Iowa
Adair County,"6,320","4,300","4,170",130,3.0,0,"2,020",
Adams County,"3,410","2,330","2,220",110,4.7,0,"1,080",
Allamakee County,"11,020","7,530","7,240",290,3.9,10,"3,490",
Appanoose County,"10,680","6,260","5,890",370,5.9,10,"4,410",
Audubon County,"5,100","3,350","3,210",140,4.2,0,"1,750",
Benton County,"18,880","13,180","12,800",380,2.9,10,"5,700",
Black Hawk County,"95,480","64,520","61,710","2,820",4.4,70,"30,900",
Boone County,"19,690","13,940","13,610",330,2.4,60,"5,690",
Bremer County,"17,060","11,830","11,500",330,2.8,10,"5,220",
Buchanan County,"15,480","10,380","9,930",450,4.3,0,"5,110",
Buena Vista County,"14,470","9,600","9,230",370,3.9,10,"4,860",
Butler County,"11,780","7,610","7,380",240,3.2,10,"4,160",
Calhoun County,"8,260","5,160","4,990",170,3.3,0,"3,100",
Carroll County,"15,960","11,250","10,980",260,2.3,10,"4,710",
Cass County,"11,190","7,540","7,320",220,2.9,20,"3,630",
Cedar County,"13,980","9,970","9,740",230,2.3,10,"4,000",
Cerro Gordo County,"35,220","24,230","23,150","1,080",4.5,0,"11,000",
Cherokee County,"9,940","6,780","6,540",240,3.5,10,"3,160",
Chickasaw County,"9,900","6,610","6,180",430,6.5,10,"3,290",
Clarke County,"6,860","4,800","4,520",280,5.8,10,"2,050",
Clay County,"13,400","9,490","9,130",360,3.8,10,"3,890",
Clayton County,"14,130","9,700","9,360",340,3.5,0,"4,430",
Clinton County,"37,850","25,260","24,020","1,240",4.9,10,"12,580",
Crawford County,"12,480","8,490","8,190",300,3.5,0,"4,000",
Dallas County,"30,070","22,550","21,980",580,2.6,80,"7,430",
Davis County,"6,340","4,080","3,930",150,3.7,0,"2,260",
Decatur County,"6,150","4,000","3,790",210,5.3,0,"2,150",
Delaware County,"13,490","9,590","9,260",330,3.4,0,"3,900",
Des Moines County,"32,370","21,990","20,880","1,110",5.0,20,"10,360",
Dickinson County,"13,010","8,710","8,460",240,2.8,0,"4,300",
Dubuque County,"64,450","45,860","44,390","1,470",3.2,60,"18,530",
Emmet County,"8,340","5,700","5,430",270,4.7,0,"2,630",
Fayette County,"16,420","10,660","10,190",470,4.4,0,"5,760",
Floyd County,"12,720","8,160","7,790",370,4.5,10,"4,550",
Franklin County,"8,270","5,550","5,320",230,4.1,0,"2,720",
Fremont County,"6,080","4,000","3,890",110,2.8,20,"2,070",
Greene County,"7,820","4,850","4,620",230,4.7,0,"2,960",
Grundy County,"9,470","6,350","6,120",230,3.6,10,"3,110",
Guthrie County,"8,770","5,880","5,650",220,3.7,10,"2,890",
Hamilton County,"12,550","8,690","8,490",210,2.4,0,"3,860",
Hancock County,"9,110","6,200","6,040",170,2.7,10,"2,910",
Hardin County,"14,040","9,290","8,870",410,4.4,10,"4,750",
Harrison County,"11,770","7,830","7,490",340,4.3,10,"3,930",
Henry County,"14,320","10,150","9,740",420,4.1,30,"4,140",
Howard County,"7,380","4,910","4,740",170,3.5,0,"2,470",
Humboldt County,"7,960","5,090","4,910",180,3.5,0,"2,870",
Ida County,"5,950","3,890","3,740",150,3.9,0,"2,060",
Iowa County,"11,740","8,460","8,270",190,2.2,0,"3,280",
Jackson County,"15,390","10,680","10,280",400,3.7,20,"4,700",
Jasper County,"27,560","19,130","18,540",590,3.1,30,"8,400",
Jefferson County,"12,120","8,480","8,170",320,3.8,0,"3,640",
Johnson County,"83,170","63,270","61,720","1,550",2.4,100,"19,800",
Jones County,"14,410","10,090","9,700",400,4.0,10,"4,310",
Keokuk County,"8,630","5,550","5,340",210,3.8,10,"3,070",
Kossuth County,"13,150","8,570","8,240",330,3.9,10,"4,580",
Lee County,"28,330","18,370","17,330","1,030",5.6,20,"9,940",
Linn County,"143,910","105,620","102,120","3,500",3.3,40,"38,250",
Louisa County,"9,050","6,070","5,810",260,4.3,0,"2,970",
Lucas County,"7,150","4,570","4,380",190,4.2,0,"2,580",
Lyon County,"8,700","6,080","5,930",140,2.3,0,"2,620",
Madison County,"10,350","7,360","7,050",300,4.1,30,"2,960",
Mahaska County,"16,780","11,030","10,590",430,3.9,0,"5,750",
Marion County,"23,000","15,900","15,430",470,3.0,20,"7,080",
Marshall County,"29,390","19,930","19,120",810,4.1,10,"9,450",
Mills County,"10,410","7,590","7,370",210,2.8,30,"2,790",
Mitchell County,"8,030","5,250","5,090",160,3.0,0,"2,780",
Monona County,"7,740","4,840","4,660",180,3.7,20,"2,890",
Monroe County,"6,070","3,760","3,620",140,3.7,10,"2,310",
Montgomery County,"8,970","5,770","5,480",290,5.0,20,"3,180",
Muscatine County,"31,090","21,500","20,660",850,4.0,10,"9,570",
O Brien County,"11,310","7,560","7,340",220,2.9,10,"3,740",
Osceola County,"5,230","3,490","3,370",120,3.4,0,"1,740",
Page County,"12,270","8,020","7,680",340,4.2,10,"4,250",
Palo Alto County,"7,660","4,940","4,840",100,2.0,0,"2,720",
Plymouth County,"18,370","12,810","12,560",250,2.0,30,"5,540",
Pocahontas County,"6,600","4,050","3,920",130,3.2,10,"2,540",
Polk County,"280,080","207,340","199,190","8,150",3.9,310,"72,430",
Pottawattamie County,"66,240","46,250","44,430","1,820",3.9,100,"19,880",
Poweshiek County,"13,610","9,470","9,120",350,3.7,0,"4,130",
Ringgold County,"4,210","2,490","2,390",100,4.0,0,"1,710",
Sac County,"8,800","5,730","5,550",180,3.1,10,"3,060",
Scott County,"118,410","82,900","78,680","4,220",5.1,110,"35,400",
Shelby County,"9,870","6,760","6,590",180,2.7,0,"3,110",
Sioux County,"21,410","15,570","15,280",290,1.9,10,"5,830",
Story County,"57,050","42,040","40,730","1,300",3.1,90,"14,920",
Tama County,"13,400","8,850","8,500",350,4.0,0,"4,550",
Taylor County,"5,330","3,390","3,260",130,3.8,0,"1,940",
Union County,"9,510","6,380","6,140",240,3.8,0,"3,130",
Van Buren County,"5,990","3,880","3,740",140,3.6,0,"2,110",
Wapello County,"27,580","17,340","16,290","1,040",6.0,30,"10,220",
Warren County,"29,270","21,930","21,380",560,2.6,30,"7,310",
Washington County,"15,390","11,030","10,740",290,2.6,10,"4,350",
Wayne County,"5,210","3,180","3,050",130,4.1,0,"2,030",
Webster County,"29,170","19,330","18,510",820,4.2,20,"9,820",
Winnebago County,"8,810","6,050","5,880",170,2.8,0,"2,770",
Winneshiek County,"14,860","10,770","10,450",320,3.0,0,"4,080",
Woodbury County,"75,940","53,210","51,010","2,190",4.1,160,"22,570",
Worth County,"6,130","4,220","4,060",160,3.8,0,"1,900",
Wright County,"10,940","7,170","6,910",270,3.8,10,"3,760",
Kansas,"1,978,200","1,355,870","1,304,380","51,500",3.8,"10,510","611,820",Kansas
Allen County,"10,920","7,130","6,820",310,4.3,20,"3,780",
Anderson County,"6,180","3,900","3,760",140,3.6,0,"2,280",
Atchison County,"11,910","7,930","7,540",390,4.9,0,"3,990",
Barber County,"4,110","2,610","2,550",50,1.9,0,"1,500",
Barton County,"21,010","14,070","13,560",510,3.6,30,"6,910",
Bourbon County,"11,570","7,660","7,360",300,3.9,20,"3,900",
Brown County,"8,070","5,250","4,950",300,5.7,0,"2,820",
Butler County,"42,400","29,050","28,060",990,3.4,110,"13,240",
Chase County,"2,290","1,580","1,530",40,2.5,0,720,
Chautauqua County,"3,340","1,820","1,740",90,4.9,0,"1,520",
Cherokee County,"17,020","10,810","10,250",560,5.2,0,"6,210",
Cheyenne County,"2,460","1,550","1,510",40,2.6,0,910,
Clark County,"1,820","1,160","1,130",30,2.6,0,650,
Clay County,"6,720","4,420","4,270",150,3.4,60,"2,240",
Cloud County,"7,640","5,070","4,880",190,3.7,10,"2,570",
Coffey County,"6,650","4,600","4,430",160,3.5,0,"2,060",
Comanche County,"1,510",970,970,0,0.0,0,530,
Cowley County,"26,270","16,940","16,180",770,4.5,10,"9,320",
Crawford County,"28,780","18,730","17,850",880,4.7,30,"10,030",
Decatur County,"2,660","1,610","1,600",20,1.2,0,"1,050",
Dickinson County,"14,630","9,940","9,630",320,3.2,140,"4,550",
Doniphan County,"6,040","3,920","3,760",160,4.1,20,"2,100",
Douglas County,"73,200","53,760","51,900","1,870",3.5,150,"19,290",
Edwards County,"2,650","1,640","1,590",40,2.4,0,"1,010",
Elk County,"2,520","1,370","1,310",60,4.4,0,"1,150",
Ellis County,"20,990","14,810","14,460",350,2.4,30,"6,150",
Ellsworth County,"4,570","3,060","2,950",110,3.6,10,"1,500",
Finney County,"27,490","19,350","18,440",920,4.8,40,"8,110",
Ford County,"22,730","15,860","15,210",640,4.0,10,"6,870",
Franklin County,"18,170","12,590","12,190",390,3.1,10,"5,570",
Geary County,"19,910","11,670","10,950",730,6.3,"2,330","5,900",
Gove County,"2,330","1,510","1,480",30,2.0,0,820,
Graham County,"2,330","1,440","1,420",20,1.4,0,890,
Grant County,"5,530","3,670","3,500",170,4.6,0,"1,860",
Gray County,"4,100","2,910","2,830",80,2.7,0,"1,190",
Greeley County,"1,130",720,700,20,2.8,0,410,
Greenwood County,"5,930","3,590","3,440",150,4.2,0,"2,340",
Hamilton County,"1,970","1,220","1,200",20,1.6,0,740,
Harper County,"4,980","3,110","2,990",120,3.9,0,"1,870",
Harvey County,"24,010","16,370","15,850",520,3.2,10,"7,630",
Haskell County,"3,010","2,000","1,940",60,3.0,0,"1,010",
Hodgeman County,"1,540","1,010",990,10,1.0,0,530,
Jackson County,"9,280","6,350","6,140",210,3.3,20,"2,910",
Jefferson County,"13,750","9,350","9,040",320,3.4,30,"4,370",
Jewell County,"3,030","1,840","1,800",40,2.2,0,"1,180",
Johnson County,"337,790","252,190","246,630","5,550",2.2,160,"85,440",
Kearny County,"3,110","2,020","1,960",60,3.0,0,"1,100",
Kingman County,"6,430","4,070","4,020",60,1.5,20,"2,340",
Kiowa County,"2,510","1,610","1,560",60,3.7,0,900,
Labette County,"16,920","11,080","10,710",370,3.3,10,"5,830",
Lane County,"1,660","1,090","1,070",20,1.8,0,570,
Leavenworth County,"45,730","29,890","28,960",930,3.1,"2,180","13,670",
Lincoln County,"2,790","1,880","1,830",50,2.7,0,910,
Linn County,"7,390","4,630","4,380",260,5.6,0,"2,750",
Logan County,"2,310","1,570","1,510",60,3.8,0,740,
Lyon County,"26,160","18,470","17,550",920,5.0,30,"7,660",
Marion County,"9,710","6,300","6,120",180,2.9,0,"3,410",
Marshall County,"8,390","5,440","5,250",190,3.5,20,"2,930",
McPherson County,"21,410","14,890","14,630",260,1.7,30,"6,490",
Meade County,"3,310","2,100","2,040",60,2.9,10,"1,210",
Miami County,"20,650","14,750","14,390",360,2.4,20,"5,880",
Mitchell County,"5,190","3,410","3,320",90,2.6,0,"1,780",
Montgomery County,"27,460","17,180","16,400",780,4.5,20,"10,260",
Morris County,"4,710","3,060","2,980",90,2.9,20,"1,630",
Morton County,"2,520","1,700","1,640",60,3.5,0,820,
Nemaha County,"7,560","5,040","4,940",100,2.0,0,"2,530",
Neosho County,"12,740","8,330","7,960",370,4.4,0,"4,410",
Ness County,"2,690","1,720","1,690",30,1.7,0,970,
Norton County,"4,000","2,590","2,520",70,2.7,0,"1,410",
Osage County,"12,560","8,420","8,120",300,3.6,40,"4,100",
Osborne County,"3,410","2,190","2,110",80,3.7,0,"1,220",
Ottawa County,"4,630","3,190","3,100",90,2.8,10,"1,440",
Pawnee County,"4,970","3,320","3,280",50,1.5,0,"1,650",
Phillips County,"4,560","2,930","2,870",60,2.0,10,"1,620",
Pottawatomie County,"13,270","9,340","9,060",280,3.0,50,"3,870",
Pratt County,"7,310","4,910","4,790",130,2.6,0,"2,390",
Rawlins County,"2,340","1,390","1,360",30,2.2,0,950,
Reno County,"47,700","31,680","30,330","1,360",4.3,40,"15,970",
Republic County,"4,560","2,870","2,800",70,2.4,0,"1,690",
Rice County,"7,590","4,710","4,580",130,2.8,0,"2,880",
Riley County,"43,050","29,340","27,930","1,420",4.8,"2,060","11,640",
Rooks County,"4,250","2,730","2,610",110,4.0,0,"1,520",
Rush County,"2,750","1,700","1,650",50,2.9,0,"1,050",
Russell County,"5,790","3,500","3,380",110,3.1,0,"2,300",
Saline County,"39,870","28,250","27,360",880,3.1,60,"11,570",
Scott County,"3,840","2,810","2,750",60,2.1,0,"1,020",
Sedgwick County,"332,880","229,210","218,590","10,610",4.6,"2,220","101,450",
Seward County,"15,540","10,100","9,660",440,4.4,10,"5,440",
Shawnee County,"127,230","87,870","84,420","3,450",3.9,360,"39,000",
Sheridan County,"2,140","1,400","1,390",10,0.7,0,740,
Sherman County,"5,190","3,470","3,370",100,2.9,0,"1,730",
Smith County,"3,600","2,120","2,070",50,2.4,0,"1,470",
Stafford County,"3,600","2,260","2,180",80,3.5,0,"1,340",
Stanton County,"1,710","1,190","1,160",30,2.5,0,510,
Stevens County,"3,950","2,530","2,430",100,4.0,0,"1,420",
Sumner County,"19,080","12,360","11,760",600,4.9,10,"6,710",
Thomas County,"6,000","4,160","4,020",140,3.4,0,"1,840",
Trego County,"2,560","1,580","1,560",30,1.9,0,980,
Wabaunsee County,"5,160","3,590","3,490",100,2.8,10,"1,570",
Wallace County,"1,300",890,870,10,1.1,0,420,
Washington County,"4,950","3,270","3,200",70,2.1,0,"1,690",
Wichita County,"1,880","1,190","1,150",40,3.4,0,700,
Wilson County,"7,760","4,920","4,730",200,4.1,0,"2,840",
Woodson County,"2,950","1,680","1,620",60,3.6,0,"1,270",
Wyandotte County,"116,040","73,920","67,960","5,950",8.0,70,"42,050",
Kentucky,"3,048,610","1,880,300","1,781,170","99,130",5.3,"11,990","1,156,320",Kentucky
Adair County,"12,910","7,700","7,230",480,6.2,10,"5,200",
Allen County,"13,530","8,170","7,770",400,4.9,0,"5,360",
Anderson County,"14,320","9,860","9,470",390,4.0,30,"4,430",
Ballard County,"6,450","4,020","3,850",170,4.2,0,"2,430",
Barren County,"29,290","18,560","17,550","1,000",5.4,0,"10,730",
Bath County,"8,630","4,700","4,380",310,6.6,20,"3,910",
Bell County,"22,870","9,950","8,910","1,030",10.4,10,"12,910",
Boone County,"63,480","46,730","45,280","1,450",3.1,20,"16,730",
Bourbon County,"14,810","9,630","9,270",370,3.8,0,"5,180",
Boyd County,"38,380","21,210","19,490","1,710",8.1,40,"17,130",
Boyle County,"19,680","12,550","11,990",560,4.5,10,"7,120",
Bracken County,"6,340","4,090","3,890",200,4.9,0,"2,260",
Breathitt County,"12,230","5,320","4,840",470,8.8,0,"6,920",
Breckinridge County,"14,260","8,410","7,900",510,6.1,10,"5,850",
Bullitt County,"46,260","31,910","30,900","1,010",3.2,210,"14,140",
Butler County,"9,940","6,230","5,930",300,4.8,10,"3,710",
Caldwell County,"10,370","6,040","5,710",330,5.5,0,"4,330",
Calloway County,"25,500","15,980","15,160",820,5.1,10,"9,510",
Campbell County,"66,350","44,450","42,970","1,490",3.4,60,"21,830",
Carlisle County,"4,190","2,370","2,220",150,6.3,0,"1,830",
Carroll County,"7,680","4,860","4,550",300,6.2,10,"2,810",
Carter County,"20,400","11,070","10,150",920,8.3,10,"9,330",
Casey County,"11,930","6,650","6,260",390,5.9,10,"5,270",
Christian County,"47,560","25,720","24,080","1,640",6.4,"5,140","16,700",
Clark County,"25,600","16,430","15,660",770,4.7,20,"9,150",
Clay County,"17,090","7,200","6,430",770,10.7,0,"9,890",
Clinton County,"7,620","4,260","4,000",260,6.1,20,"3,340",
Crittenden County,"7,360","4,170","3,890",280,6.7,10,"3,180",
Cumberland County,"5,600","3,050","2,850",200,6.6,0,"2,550",
Daviess County,"68,460","44,930","42,630","2,300",5.1,50,"23,470",
Edmonson County,"9,100","4,940","4,590",340,6.9,0,"4,160",
Elliott County,"5,190","2,410","2,160",250,10.4,0,"2,790",
Estill County,"11,930","5,930","5,490",440,7.4,0,"6,000",
Fayette County,"198,140","141,770","136,360","5,410",3.8,140,"56,240",
Fleming County,"10,610","6,370","5,950",420,6.6,10,"4,230",
Floyd County,"32,700","13,900","12,530","1,370",9.9,0,"18,800",
Franklin County,"36,380","24,620","23,650",970,3.9,80,"11,690",
Fulton County,"5,790","3,110","2,840",270,8.7,10,"2,670",
Gallatin County,"5,750","3,760","3,630",130,3.5,0,"1,990",
Garrard County,"11,490","7,300","6,930",370,5.1,0,"4,190",
Grant County,"16,450","11,240","10,630",610,5.4,10,"5,200",
Graves County,"28,270","16,730","15,890",840,5.0,0,"11,550",
Grayson County,"18,510","10,740","10,130",610,5.7,20,"7,750",
Green County,"9,050","5,060","4,800",260,5.1,30,"3,960",
Greenup County,"28,760","15,500","14,370","1,130",7.3,20,"13,250",
Hancock County,"6,330","4,010","3,800",210,5.2,0,"2,320",
Hardin County,"67,390","42,080","39,690","2,400",5.7,"3,460","21,850",
Harlan County,"25,600","10,310","8,950","1,360",13.2,10,"15,290",
Harrison County,"13,780","8,760","8,440",320,3.7,40,"4,990",
Hart County,"13,220","7,520","7,020",490,6.5,0,"5,700",
Henderson County,"34,370","22,350","21,160","1,190",5.3,0,"12,020",
Henry County,"11,550","7,490","7,210",280,3.7,10,"4,060",
Hickman County,"4,120","2,350","2,200",150,6.4,0,"1,770",
Hopkins County,"35,790","20,980","19,500","1,480",7.1,20,"14,790",
Jackson County,"10,230","5,040","4,600",440,8.7,0,"5,190",
Jefferson County,"531,300","349,340","332,860","16,480",4.7,590,"181,380",
Jessamine County,"28,070","19,240","18,540",700,3.6,20,"8,810",
Johnson County,"18,030","8,880","8,210",670,7.5,10,"9,130",
Kenton County,"114,090","79,730","76,970","2,770",3.5,30,"34,330",
Knott County,"13,350","5,790","5,050",740,12.8,10,"7,550",
Knox County,"23,670","10,910","9,990",920,8.4,50,"12,710",
Larue County,"10,230","6,230","5,940",300,4.8,0,"4,000",
Laurel County,"40,040","22,880","21,650","1,230",5.4,10,"17,140",
Lawrence County,"12,040","5,650","5,010",640,11.3,0,"6,400",
Lee County,"5,640","2,500","2,270",240,9.6,0,"3,140",
Leslie County,"9,620","3,870","3,480",400,10.3,0,"5,750",
Letcher County,"19,890","8,710","7,760",950,10.9,10,"11,170",
Lewis County,"10,790","5,570","4,910",650,11.7,10,"5,220",
Lincoln County,"17,790","10,420","9,930",500,4.8,0,"7,360",
Livingston County,"7,760","4,730","4,510",220,4.7,0,"3,020",
Logan County,"20,220","12,900","12,360",540,4.2,40,"7,280",
Lyon County,"5,390","3,000","2,840",160,5.3,0,"2,380",
Madison County,"51,610","34,240","32,510","1,730",5.1,50,"17,320",
Magoffin County,"10,040","4,440","3,870",570,12.8,0,"5,600",
Marion County,"12,970","8,200","7,720",480,5.9,10,"4,770",
Marshall County,"23,700","13,930","13,370",550,3.9,0,"9,770",
Martin County,"9,440","3,510","3,110",410,11.7,0,"5,930",
Mason County,"12,860","8,120","7,680",430,5.3,0,"4,750",
Mc Cracken County,"50,660","31,140","29,340","1,800",5.8,50,"19,470",
Mc Creary County,"12,550","6,100","5,450",660,10.8,0,"6,440",
Mc Lean County,"7,660","4,600","4,320",280,6.1,0,"3,070",
Meade County,"19,290","11,540","10,710",830,7.2,990,"6,760",
Menifee County,"4,920","2,450","2,240",210,8.6,10,"2,460",
Mercer County,"16,130","10,150","9,810",340,3.3,20,"5,960",
Metcalfe County,"7,710","4,480","4,200",280,6.3,0,"3,230",
Monroe County,"9,190","5,350","4,820",540,10.1,10,"3,820",
Montgomery County,"17,240","10,760","10,120",630,5.9,0,"6,490",
Morgan County,"9,430","4,750","4,350",400,8.4,0,"4,680",
Muhlenberg County,"24,040","12,800","11,930",870,6.8,20,"11,220",
Nelson County,"27,570","18,550","17,870",690,3.7,30,"8,990",
Nicholas County,"5,300","3,300","2,980",320,9.7,0,"2,000",
Ohio County,"17,620","10,090","9,550",540,5.4,0,"7,530",
Oldham County,"31,110","22,510","21,950",560,2.5,50,"8,560",
Owen County,"8,100","4,880","4,620",260,5.3,20,"3,210",
Owsley County,"3,730","1,510","1,370",130,8.6,0,"2,230",
Pendelton County,"10,650","6,890","6,570",320,4.6,0,"3,760",
Perry County,"22,810","10,110","8,960","1,150",11.4,0,"12,700",
Pike County,"53,640","24,230","22,050","2,180",9.0,20,"29,390",
Powell County,"10,130","5,590","5,280",310,5.5,0,"4,540",
Pulaski County,"43,610","24,550","23,330","1,220",5.0,30,"19,030",
Robertson County,"1,720",980,930,50,5.1,0,740,
Rockcastle County,"12,740","7,090","6,610",480,6.8,20,"5,630",
Rowan County,"15,080","9,120","8,520",610,6.7,20,"5,930",
Russell County,"12,970","7,030","6,570",460,6.5,0,"5,940",
Scott County,"23,910","17,010","16,380",620,3.6,20,"6,880",
Shelby County,"24,400","17,370","16,760",610,3.5,60,"6,980",
Simpson County,"12,270","8,110","7,860",250,3.1,0,"4,160",
Spencer County,"8,790","6,200","5,950",250,4.0,10,"2,580",
Taylor County,"17,500","10,360","9,710",650,6.3,10,"7,130",
Todd County,"8,970","5,690","5,440",250,4.4,30,"3,250",
Trigg County,"9,890","5,710","5,430",280,4.9,140,"4,030",
Trimble County,"6,130","3,960","3,750",210,5.3,0,"2,170",
Union County,"11,050","7,100","6,650",450,6.3,0,"3,950",
Warren County,"68,160","46,790","44,730","2,060",4.4,60,"21,320",
Washington County,"8,150","5,050","4,820",230,4.6,20,"3,080",
Wayne County,"15,300","7,990","7,360",630,7.9,0,"7,310",
Webster County,"10,930","6,520","6,210",300,4.6,0,"4,410",
Whitley County,"26,560","13,410","12,690",720,5.4,0,"13,150",
Wolfe County,"5,340","2,490","2,270",230,9.2,0,"2,850",
Woodford County,"17,590","12,800","12,460",340,2.7,10,"4,780",
Louisiana,"3,261,230","1,972,500","1,839,510","132,990",6.7,"14,150","1,274,580",Louisiana
Acadia Parish,"42,420","23,100","21,510","1,590",6.9,10,"19,300",
Allen Parish,"15,710","8,590","7,960",630,7.3,10,"7,110",
Ascension Parish,"55,480","37,120","35,150","1,970",5.3,50,"18,310",
Assumption Parish,"17,320","9,710","8,860",860,8.9,10,"7,590",
Avoyelles Parish,"28,670","15,350","14,120","1,230",8.0,30,"13,300",
Beauregard Parish,"23,880","13,700","12,700",990,7.2,150,"10,040",
Bienville Parish,"11,640","5,930","5,350",590,9.9,20,"5,690",
Bossier Parish,"71,780","45,330","42,820","2,510",5.5,"2,790","23,660",
Caddo Parish,"186,530","114,030","104,500","9,530",8.4,"1,350","71,150",
Calcasieu Parish,"134,900","84,140","78,840","5,300",6.3,90,"50,670",
Caldwell Parish,"7,500","4,180","3,870",310,7.4,10,"3,310",
Cameron Parish,"7,490","4,370","4,170",200,4.6,0,"3,110",
Catahoula Parish,"7,990","4,010","3,670",350,8.7,0,"3,980",
Claiborne Parish,"11,880","6,290","5,700",600,9.5,0,"5,590",
Concordia Parish,"14,520","7,610","6,860",750,9.9,20,"6,890",
De Soto Parish,"18,830","10,540","9,690",850,8.1,10,"8,280",
East Baton Rouge Parish,"303,810","200,370","189,410","10,960",5.5,230,"103,210",
East Carroll Parish,"5,810","3,130","2,650",470,15.0,0,"2,680",
East Feliciana Parish,"13,750","8,120","7,600",520,6.4,0,"5,630",
Evangeline Parish,"24,420","11,970","11,140",830,6.9,0,"12,460",
Franklin Parish,"15,180","7,900","7,270",630,8.0,0,"7,280",
Grant Parish,"13,780","7,630","7,100",530,6.9,40,"6,120",
Iberia Parish,"52,210","30,150","27,400","2,750",9.1,60,"22,010",
Iberville Parish,"22,300","12,340","11,440",900,7.3,10,"9,950",
Jackson Parish,"11,680","6,480","6,120",350,5.4,10,"5,200",
Jefferson Davis Parish,"22,880","12,580","11,590",990,7.9,20,"10,280",
Jefferson Parish,"350,060","224,400","212,050","12,340",5.5,"1,210","124,450",
La Salle Parish,"10,290","5,670","5,360",310,5.5,10,"4,620",
Lafayette Parish,"139,780","93,130","88,100","5,020",5.4,140,"46,510",
Lafourche Parish,"66,680","38,950","36,810","2,140",5.5,50,"27,680",
Lincoln Parish,"28,930","17,630","16,350","1,280",7.3,30,"11,270",
Livingston Parish,"67,470","42,880","40,890","1,990",4.6,40,"24,550",
Madison Parish,"8,650","4,700","4,230",470,10.0,0,"3,960",
Morehouse Parish,"22,630","12,390","11,020","1,370",11.1,0,"10,240",
Natchitoches Parish,"27,600","15,540","14,180","1,370",8.8,10,"12,050",
Orleans Parish,"352,800","207,840","189,350","18,500",8.9,"1,610","143,360",
Ouachita Parish,"106,110","67,750","63,380","4,370",6.5,120,"38,230",
Plaquemines Parish,"19,090","10,670","9,950",710,6.7,270,"8,150",
Pointe Coupee Parish,"17,040","9,610","8,910",700,7.3,20,"7,410",
Rapides Parish,"91,130","53,470","50,210","3,260",6.1,270,"37,390",
Red River Parish,"6,900","3,560","3,140",420,11.8,10,"3,330",
Richland Parish,"14,670","8,170","7,630",540,6.6,10,"6,480",
Sabine Parish,"17,610","9,200","8,440",760,8.3,0,"8,400",
St. Bernard Parish,"51,610","31,080","29,300","1,780",5.7,170,"20,370",
St. Charles Parish,"34,870","22,770","21,580","1,190",5.2,10,"12,090",
St. Helena Parish,"7,800","4,130","3,740",390,9.4,10,"3,670",
St. James Parish,"15,450","8,550","7,680",870,10.2,10,"6,900",
St. John the Baptist Parish,"30,770","19,190","17,860","1,320",6.9,30,"11,560",
St. Landry Parish,"63,420","32,640","29,300","3,330",10.2,40,"30,750",
St. Martin Parish,"35,220","20,900","19,100","1,800",8.6,10,"14,310",
St. Mary Parish,"38,910","21,970","20,100","1,870",8.5,20,"16,920",
St. Tammany Parish,"140,840","91,380","87,970","3,420",3.7,780,"48,680",
Tangipahoa Parish,"72,790","43,150","40,120","3,020",7.0,70,"29,570",
Tensas Parish,"4,590","2,450","2,170",280,11.4,0,"2,150",
Terrebonne Parish,"76,530","43,930","41,350","2,580",5.9,60,"32,540",
Union Parish,"17,170","9,950","9,260",690,6.9,10,"7,210",
